                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.99486,                 1.4467,                0.66281,                 1.0989,                0.84653,                0.80489,                0.88602,                0.59972,                0.84139,                0.80593,                0.88796,                 0.6048,                 1.1378,                 1.6681,                0.68755,                 1.2755,              0.0014195,              0.0014195,              0.0014195
                     47,                0.97891,                 1.4094,                0.66359,                 1.0856,                0.91263,                0.75181,                0.87708,                0.59699,                0.91263,                0.75181,                0.87446,                0.59922,                 1.1574,                 1.7645,                0.73052,                 1.2732,              0.0014139,              0.0014139,              0.0014139
                     48,                0.97231,                 1.3871,                0.67562,                 1.0822,                0.87827,                0.81349,                0.90041,                0.62767,                 0.8792,                0.81349,                0.89871,                0.61462,                 1.0837,                 1.6846,                0.60665,                 1.2071,              0.0014084,              0.0014084,              0.0014084
                     49,                0.95026,                 1.3962,                0.64798,                 1.0754,                0.87437,                0.84588,                0.89763,                0.60787,                0.87442,                0.85054,                0.89569,                0.59364,                 1.0801,                 1.7653,                0.65935,                 1.1953,              0.0014029,              0.0014029,              0.0014029
                     50,                 0.9583,                 1.3669,                0.66367,                 1.0819,                0.77688,                0.85979,                0.89546,                0.60118,                0.78139,                0.86442,                0.90262,                0.60173,                 1.1066,                 1.6869,                0.70683,                  1.228,              0.0013974,              0.0013974,              0.0013974
                     51,                0.94776,                 1.3774,                 0.6474,                 1.0673,                0.86549,                0.86536,                0.90945,                0.60982,                0.87091,                0.86815,                0.91316,                0.61437,                  1.148,                 1.7067,                0.69269,                  1.263,              0.0013919,              0.0013919,              0.0013919
                     52,                0.98603,                 1.4497,                0.66953,                 1.0967,                0.86469,                0.83598,                0.92243,                 0.6235,                0.88528,                0.83418,                0.91857,                0.62198,                 1.1164,                 1.7039,                0.67138,                 1.2482,              0.0013864,              0.0013864,              0.0013864
                     53,                0.94788,                 1.3939,                0.63919,                 1.0815,                0.90492,                0.85104,                 0.9233,                0.63443,                0.88117,                 0.8836,                0.93206,                0.63789,                  1.087,                 1.7184,                0.61833,                 1.1913,              0.0013809,              0.0013809,              0.0013809
                     54,                 0.9599,                 1.3708,                0.63115,                 1.0812,                0.86831,                0.82668,                 0.9227,                0.64323,                0.86295,                0.85244,                0.93591,                0.63241,                 1.0816,                 1.6353,                0.62755,                 1.2175,              0.0013754,              0.0013754,              0.0013754
                     55,                0.93869,                 1.4006,                0.63974,                 1.0748,                0.89486,                0.80181,                0.90795,                0.61433,                0.89486,                0.80181,                 0.9067,                0.60294,                 1.1043,                 1.7439,                0.65081,                 1.2388,              0.0013699,              0.0013699,              0.0013699
                     56,                0.92236,                  1.347,                0.64751,                 1.0663,                0.95151,                0.84168,                 0.9454,                0.64506,                0.95151,                0.84168,                0.94529,                 0.6454,                 1.0922,                 1.6307,                0.59562,                 1.2399,              0.0013644,              0.0013644,              0.0013644
                     57,                0.93737,                 1.3484,                0.62858,                 1.0542,                0.85485,                0.87007,                0.91503,                 0.6344,                0.85485,                0.87007,                0.91173,                0.62325,                 1.0582,                  1.684,                 0.6634,                 1.1878,              0.0013589,              0.0013589,              0.0013589
